num_total_eo,num_nonceremonial_eo,num_eos,numdisasterdeclare,num_ceremonial_eo,num_routine_eo,num_pardon_eo,st,year,house_polarization,house_polarization_impute,senate_polarization,house_polarization_stdev,governor_election_year,gov_republican,gov_democrat,term_limited,governor_power,divided_gov1,divided_gov2,veto_proof,ln_state_income_growth,annual_salary2015,permanent_staff,governor_prior_vote,governor_party_pres_vote,average_polarization,senate_polarization_bonica,house_polarization_bonica,govfe,ln_legislative_staff,ln_legislative_salary,house_polarization_maj_pty_het,gov_party_size,rule_review_dichotomous,rule_review_scale,state_fe,num_disaster_eo,num_nonroutine_eo,panel_length,gov_time_in_office,ln_state_expenditures,maj_control_index
14,14,12,0,0,2,0,AL,1993,NA,NA,NA,NA,0,0,0,0,3.4800000190734863,0,0,1,4.610000133514404,272.01019287109375,324.625,0.5,0.5,NA,NA,NA,Alabama-Hunt,5.785747051239014,5.609508991241455,NA,NA,1,2,1,0,7,19,7,16.049795150756836,1
17,17,17,0,0,0,0,AL,1994,NA,NA,NA,NA,1,0,1,0,3.375,0,0,1,5.869999885559082,NA,321.75,0.4788532555103302,0.40880000591278076,NA,NA,NA,Alabama-Folsom,5.7768778800964355,NA,NA,0.7809523940086365,1,2,1,0,12,19,1,16.110300064086914,1
13,13,10,0,0,3,0,AL,1995,NA,NA,NA,NA,0,1,0,0,3.34375,1,1,1,5.75,NA,318.875,0.5044854879379272,0.476500004529953,NA,NA,NA,Alabama-James,5.76793098449707,NA,NA,0.29523810744285583,1,2,1,0,5,19,1,16.150434494018555,1
13,11,11,0,2,0,0,AL,1996,0.9580000042915344,0.9580000042915344,1.2300000190734863,0.5497598648071289,0,1,0,0,3.3125,1,1,1,4.329999923706055,272.01019287109375,316,0.5044854879379272,0.5012000203132629,1.093999981880188,NA,NA,Alabama-James,5.758902072906494,5.609508991241455,0.333050012588501,0.3047618865966797,1,2,1,0,6,19,2,16.2126522064209,1
13,8,8,0,5,0,0,AL,1997,0.9580000042915344,0.9580000042915344,1.1480000019073486,0.5497598648071289,0,1,0,0,3.28125,1,1,1,5.320000171661377,272.01019287109375,337.57000732421875,0.5044854879379272,0.5012000203132629,1.0529999732971191,NA,NA,Alabama-James,5.82473087310791,5.609508991241455,0.333050012588501,0.31428569555282593,1,2,1,0,5,19,3,16.272432327270508,1
13,10,10,0,3,0,0,AL,1998,0.9679999947547913,0.9679999947547913,1.2519999742507935,0.5548130869865417,1,1,0,0,3.25,1,1,1,6.880000114440918,272.01019287109375,359.1400146484375,0.5044854879379272,0.5012000203132629,1.1100000143051147,0.7986795902252197,0.6915891170501709,Alabama-James,5.88649320602417,5.609508991241455,0.33289870619773865,0.32380950450897217,1,2,1,0,8,19,4,16.33928680419922,1
12,12,12,0,0,0,0,AL,1999,0.9850000143051147,0.9850000143051147,1.2569999694824219,0.5675302743911743,0,0,1,0,3.266700029373169,0,0,1,3.940000057220459,272.01019287109375,380.7099914550781,0.5781081318855286,0.43160000443458557,1.121000051498413,0.7986795902252197,0.6915891170501709,Alabama-Siegelman,5.9446611404418945,5.609508991241455,0.3260939121246338,0.6571428775787354,1,2,1,0,9,19,1,16.402454376220703,1
29,29,29,0,0,0,0,AL,2000,0.968999981880188,0.968999981880188,1.2569999694824219,0.5700071454048157,0,0,1,0,3.283400058746338,0,0,1,5.360000133514404,272.01019287109375,402.2799987792969,0.5781081318855286,0.41589999198913574,1.1130000352859497,0.7986795902252197,0.6915891170501709,Alabama-Siegelman,5.999630928039551,5.609508991241455,0.33006420731544495,0.6571428775787354,1,2,1,0,22,19,2,16.482711791992188,1
25,24,24,0,1,0,0,AL,2001,0.996999979019165,0.996999979019165,1.2569999694824219,0.572766125202179,0,0,1,0,3.299999952316284,0,0,1,4.059999942779541,272.01019287109375,423.8500061035156,0.5781081318855286,0.41589999198913574,1.1269999742507935,NA,0.6915891170501709,Alabama-Siegelman,6.051735877990723,5.609508991241455,0.32896581292152405,0.6380953192710876,1,2,1,0,16,19,3,16.527280807495117,1
13,13,13,0,0,0,0,AL,2002,0.996999979019165,0.996999979019165,1.2569999694824219,0.572766125202179,1,0,1,0,3.25,0,0,1,2.6500000953674316,272.01019287109375,445.4200134277344,0.5781081318855286,0.41589999198913574,1.1269999742507935,0.6011608242988586,0.6604428887367249,Alabama-Siegelman,6.101260185241699,5.609508991241455,0.32896581292152405,0.6380953192710876,1,2,1,0,9,19,4,16.59807014465332,1
16,14,14,0,2,0,0,AL,2003,0.9959999918937683,0.9959999918937683,1.3559999465942383,0.6113471388816833,0,1,0,0,3.3299999237060547,1,1,1,4.25,244.80909729003906,422,0.5011630058288574,0.5647000074386597,1.1759999990463257,0.6011608242988586,0.6604428887367249,Alabama-Riley,6.047371864318848,5.5045552253723145,0.33998069167137146,0.39047619700431824,1,2,1,0,11,19,1,16.649309158325195,1
7,7,7,0,0,0,0,AL,2004,0.9959999918937683,0.9959999918937683,1.3559999465942383,0.6124048829078674,0,1,0,0,3.4159998893737793,1,1,1,7.079999923706055,797.896484375,429.5,0.5011630058288574,0.6245999932289124,1.1759999990463257,0.6011608242988586,0.6604428887367249,Alabama-Riley,6.064947128295898,6.683230876922607,0.3416996896266937,0.4000000059604645,1,2,1,0,5,19,2,16.684640884399414,1
8,8,8,0,0,0,0,AL,2005,0.9959999918937683,0.9959999918937683,1.3559999465942383,0.610640823841095,0,1,0,0,3.5,1,1,1,5.5,272.01019287109375,437,0.5011630058288574,0.6245999932289124,1.1759999990463257,NA,0.6604428887367249,Alabama-Riley,6.082219123840332,5.609508991241455,0.37174108624458313,0.380952388048172,1,2,1,0,5,19,3,16.765758514404297,1
3,2,2,0,1,0,0,AL,2006,1.0080000162124634,1.0080000162124634,1.3559999465942383,0.6160914897918701,1,1,0,0,3.5,1,1,1,6.050000190734863,272.01019287109375,444.5,0.5011630058288574,0.6245999932289124,1.1820000410079956,0.601211428642273,0.6643620133399963,Alabama-Riley,6.099196910858154,5.609508991241455,0.374724805355072,0.4000000059604645,1,2,1,0,2,19,4,16.811763763427734,1
4,4,4,0,0,0,0,AL,2007,1.0479999780654907,1.0479999780654907,1.4980000257492065,0.5913411378860474,0,1,0,1,3.5,1,1,1,4.650000095367432,272.01019287109375,452,0.5801596641540527,0.6245999932289124,1.2730000019073486,0.601211428642273,0.6643620133399963,Alabama-Riley,6.115891933441162,5.609508991241455,0.30018121004104614,0.40952378511428833,1,2,1,0,4,19,5,16.844398498535156,1
7,7,7,0,0,0,0,AL,2008,1.0479999780654907,1.0479999780654907,1.4980000257492065,0.5918582677841187,0,1,0,1,3.5,1,1,1,3.859999895095825,272.01019287109375,459.5,0.5801596641540527,0.6032000184059143,1.2730000019073486,0.47040510177612305,0.39422640204429626,Alabama-Riley,6.132312774658203,5.609508991241455,0.2933382987976074,0.40952378511428833,1,2,1,0,7,19,6,16.914278030395508,1
3,3,3,0,0,0,0,AL,2009,1.0540000200271606,1.0540000200271606,1.4329999685287476,0.5937187075614929,0,1,0,1,3.5,1,1,1,-1.4700000286102295,272.01019287109375,467,0.5801596641540527,0.6032000184059143,1.243499994277954,0.47040510177612305,0.39422640204429626,Alabama-Riley,6.148468017578125,5.609508991241455,0.2955546975135803,0.40952378511428833,1,2,1,0,2,19,7,16.965473175048828,1
6,6,6,0,0,0,0,AL,2010,1.1339999437332153,1.1339999437332153,1.4140000343322754,0.6084722280502319,1,1,0,1,3.5,1,1,1,3.5399999618530273,680.025390625,474.5,0.5801596641540527,0.6032000184059143,1.2740000486373901,0.7435263991355896,0.7239168286323547,Alabama-Riley,6.164367198944092,6.523600101470947,0.3067680895328522,0.4285714030265808,1,2,1,0,5,19,8,16.99424934387207,1
27,27,27,0,0,0,0,AL,2011,1.3630000352859497,1.3630000352859497,1.7619999647140503,0.6722784042358398,0,1,0,0,3.5,0,0,1,3.430000066757202,952.0355224609375,482,0.5789815783500671,0.6032000184059143,1.5625,0.7435263991355896,0.7239168286323547,Alabama-Bentley,6.180016994476318,6.859652042388916,0.19763579964637756,0.5904762148857117,1,2,1,0,18,19,1,17.00559425354004,1
8,8,7,0,0,1,0,AL,2012,1.3630000352859497,1.3630000352859497,1.7619999647140503,0.6736725568771362,0,1,0,0,3.5,0,0,1,3.25,272.01019287109375,489.5,0.5789815783500671,0.6054999828338623,1.5625,0.5669270753860474,0.5253379940986633,Alabama-Bentley,6.195425987243652,5.609508991241455,0.19921259582042694,0.6190475821495056,1,2,1,0,6,19,2,16.993900299072266,1
7,7,7,0,0,0,0,AL,2013,1.3890000581741333,1.3890000581741333,1.7619999647140503,0.6749802827835083,0,1,0,0,3.5,0,0,1,1.850000023841858,272.01019287109375,497,0.5789815783500671,0.6054999828338623,1.5755000114440918,0.5669270753860474,0.5253379940986633,Alabama-Bentley,6.210599899291992,5.609508991241455,0.19669659435749054,0.6095237731933594,1,2,1,0,7,19,3,17.018325805664062,1
6,5,5,0,1,0,0,AL,2014,1.3819999694824219,1.3819999694824219,1.7619999647140503,0.6747646927833557,1,1,0,0,3.5,0,0,1,NA,272.01019287109375,504.5,0.5789815783500671,0.6054999828338623,1.5720000267028809,0.5669270753860474,0.5253379940986633,Alabama-Bentley,6.225547790527344,5.609508991241455,0.19687190651893616,0.6285715103149414,1,2,1,0,4,19,4,NA,1
16,14,14,0,2,0,0,AL,2015,NA,NA,NA,NA,0,1,0,1,3.5,0,0,1,NA,42849,512,0.6368587017059326,0.6054999828338623,NA,NA,0.5253379940986633,Alabama-Bentley,6.240275859832764,10.665459632873535,NA,0.6857143044471741,1,2,1,0,9,19,5,NA,1
5,5,5,0,0,0,0,AK,1993,NA,NA,NA,NA,0,0,0,0,3.875,1,0,0,5.289999961853027,21771.689453125,242.25,0.5,0.5,NA,0.6471362709999084,0.7394059896469116,Alaska-Walter J Hickel,5.4940900802612305,9.988411903381348,NA,NA,1,1,2,0,3,17,3,15.411642074584961,0
2,2,2,0,0,0,0,AK,1994,NA,NA,NA,NA,1,0,0,0,3.75,1,0,0,3.2899999618530273,21771.689453125,240.5,0.5,0.5,NA,0.5502066016197205,0.7998772263526917,Alaska-Walter J Hickel,5.486868858337402,9.988411903381348,NA,NA,1,1,2,0,1,17,4,15.474912643432617,0
1,1,1,0,0,0,0,AK,1995,1.187000036239624,1.187000036239624,1.7960000038146973,0.6900723576545715,0,0,1,0,3.78125,1,1,0,2.680000066757202,21771.689453125,238.75,0.5015327334403992,0.3028999865055084,1.4915000200271606,0.5502066016197205,0.7998772263526917,Alaska-Tony Knowles,5.479597091674805,9.988411903381348,0.07584139704704285,0.42500001192092896,1,1,2,0,1,17,1,15.430599212646484,0
3,3,3,0,0,0,0,AK,1996,1.187000036239624,1.187000036239624,1.7960000038146973,0.6900723576545715,0,0,1,0,3.8125,1,1,0,2.7100000381469727,21771.689453125,237,0.5015327334403992,0.3327000141143799,1.4915000200271606,0.6864389777183533,1.0096770524978638,Alaska-Tony Knowles,5.4722700119018555,9.988411903381348,0.07584139704704285,0.42500001192092896,1,1,2,0,0,17,2,15.445666313171387,0
2,2,2,0,0,0,0,AK,1997,1.2089999914169312,1.2089999914169312,1.875,0.5956041216850281,0,0,1,0,3.84375,1,1,0,5.449999809265137,21771.689453125,247,0.5015327334403992,0.3327000141143799,1.5420000553131104,0.6864389777183533,1.0096770524978638,Alaska-Tony Knowles,5.513429164886475,9.988411903381348,0.08783020079135895,0.375,1,1,2,0,0,17,3,15.456385612487793,0
